x0	x1	f(x)
-2.644879	12.136736	2.606000
-2.493904	13.798030	11.495473
-3.375746	12.040863	1.306248
-1.562380	13.042435	28.062542
-3.611067	12.817560	1.813984
-3.605010	11.809270	3.993639
-2.899630	10.361720	2.471459
-4.866510	11.712712	37.402978
-4.154424	12.589247	9.989133
-4.049617	10.862696	17.789302
-1.675944	12.049224	18.106728
-3.074064	10.850252	2.015070
-3.685975	12.385923	3.312716
-4.292586	12.650698	12.647943
-3.742231	11.983306	5.253232
-3.743299	14.127278	2.213512
-3.155090	11.217289	1.587236
-2.319048	11.054156	3.914049
-2.932729	10.315330	2.747980
-4.469779	12.471861	18.080813
-2.403126	12.446368	6.417217
-3.257241	11.973896	0.799312
-4.620115	11.555156	29.867697
-3.602231	13.332122	1.404705
-2.797974	10.511960	1.866458
-2.817509	11.889918	1.042299
-3.818515	12.886676	3.669284
-2.110593	13.206280	15.768910
-3.980810	11.965788	9.427417
-2.810329	13.250545	4.008650
-3.620767	12.089341	3.347708
-4.247928	11.078793	21.803898
-2.329067	13.631240	13.788845
-3.213603	13.278533	1.111349
-2.779957	11.629880	1.061843
-2.780197	13.813037	6.728734
-3.177419	13.839644	2.589654
-3.054546	11.975993	0.442486
-3.049832	10.287431	3.564580
-3.361265	12.632113	0.659981
-1.663699	11.756730	16.678889
-3.950086	11.773243	9.765762
-2.226191	12.603751	10.006265
-3.671353	12.788267	2.347886
-3.044515	13.243645	1.884845
-3.843646	11.947338	6.988928
-3.533701	10.811485	7.010688
-2.845472	12.536055	1.740054
-3.136479	12.040413	0.447431
-4.556963	11.854355	25.167434
-3.484307	11.472723	3.649418
-3.302878	12.679051	0.522678
-1.255407	12.449578	31.023402
-2.884042	12.200554	1.001828
-3.081362	14.738242	7.214465
-3.333954	12.576547	0.602390
-3.176304	11.106322	1.971813
-1.998770	13.026933	17.101687
-2.350561	11.365613	4.078228
-1.738798	10.873149	11.336268
-2.554736	14.465456	14.651893
-4.132129	11.708702	14.182402
-3.041941	11.771524	0.515894
-4.692256	12.343563	25.557150
-4.203896	12.748592	10.276447
-4.061017	13.824934	4.769606
-3.924846	11.952938	8.410835
-2.328075	11.044136	3.811820
-2.914133	13.582143	4.056993
-4.749076	12.459634	26.451118
-2.881710	13.056823	2.673775
-4.378543	10.954543	27.020912
-2.619651	12.571985	3.975070
-2.891100	12.621448	1.581799
-3.821617	12.507254	4.670515
-2.848520	11.560649	0.807760
-1.275818	12.748833	33.113852
-4.332896	12.931554	12.153920
-4.116274	13.062085	7.424872
-1.982997	11.454318	9.358277
-2.178217	12.687781	11.321819
-2.319532	14.171793	17.790693
-3.386981	11.521264	2.511390
-4.031107	11.459190	13.290252
-3.218694	12.616152	0.450467
-2.864902	13.102183	2.960164
-3.128591	13.728534	2.603208
-3.406249	14.995169	5.038196
-2.515925	11.417842	2.571889
-4.212485	12.757472	10.411728
-3.365055	12.989000	0.665710
-2.668355	12.202171	2.525535
-3.988386	10.760153	16.907684
-3.588108	13.131399	1.398080
-2.927499	11.029261	1.160488
-2.968412	12.660317	1.177746
-4.025450	12.428725	8.200944
-3.083384	11.132030	1.421199
-2.783805	12.835785	2.977437
-2.058541	13.328802	17.785841
-4.519262	11.337175	28.352067
-2.626557	12.788786	4.592539
-2.570702	13.410566	7.999029
-2.187591	12.926391	12.435088
-3.456862	13.033969	0.871281
-3.914418	12.038181	7.839820
-3.626956	12.356874	2.750113
-0.826934	10.407735	25.521674
-2.455332	10.662284	2.572194
-3.613525	13.363951	1.452952
-3.077313	11.197255	1.271121
-3.856896	12.954598	3.973656
-3.871959	12.491459	5.431796
-3.096021	11.623400	0.701998
-0.997649	12.908919	42.169441
-3.803379	13.127433	3.056286
-3.934113	12.160264	7.670884
-2.636605	13.140755	5.784240
-4.341889	11.940499	18.118768
-3.616538	11.621671	4.787199
-1.376138	12.679982	29.878604
-4.402477	13.192862	12.443446
-1.019436	13.307465	45.840595
-4.660963	11.790766	29.165572
-1.874682	11.567331	11.662267
-2.697773	13.049634	4.625259
-4.068523	12.215475	9.987087
-3.394161	11.027217	4.173316
-1.509181	10.844859	15.208118
-3.581637	12.405741	2.218591
-1.700319	10.839138	11.855662
-1.978429	12.285233	13.114550
-4.123101	12.737103	8.748483
-2.942533	11.674783	0.603616
-3.071791	11.889686	0.468878
-3.028075	12.937131	1.330691
-1.555576	11.037185	15.203271
-1.008559	10.322912	21.807824
-3.293378	12.863317	0.556934
-2.860601	11.652300	0.776271
-3.349715	11.781999	1.602625
-3.730957	13.124602	2.391944
-2.784577	11.582090	1.025445
-2.241993	12.582300	9.620062
-2.328731	12.904629	9.638162
-3.970588	11.714819	10.488769
-2.394299	12.885370	8.404824
-3.162494	12.392327	0.404479
-1.863928	11.683429	12.369638
-2.594495	12.072807	2.952791
-3.359274	13.373777	0.948837
-2.316176	13.088510	10.826948
-1.836114	12.296004	16.115291
-2.459640	11.964733	4.154687
-2.817426	12.144857	1.301644
-3.044597	12.870157	1.127027
-3.959813	14.367387	3.438316
-4.147610	11.060811	19.018080
-1.983482	13.066663	17.719863
-2.517473	12.903346	6.525910
-3.153839	11.377746	1.257391
-3.065788	11.597838	0.671208
-2.166473	12.127943	8.912174
-3.967090	11.953614	9.215743
-2.728661	11.711275	1.370301
-3.963813	12.518687	6.775930
-2.896626	11.768057	0.690033
-3.612631	12.507050	2.305936
-4.589677	10.867536	35.434274
-3.860037	12.061553	6.798164
-2.830685	13.750356	5.742587
-2.283933	12.115061	6.980558
-3.160609	11.272471	1.498507
-3.160106	11.986341	0.510551
-2.818874	11.447769	0.897820
-2.622246	13.807739	9.204553
-3.250353	12.676712	0.473889
-2.451449	11.873780	4.025300
-2.917500	12.287592	0.934624
-3.043917	11.501990	0.734720
-3.117082	12.772998	0.710825
-1.690449	13.234271	26.281754
-0.988410	11.507652	29.784801
-2.269272	12.458342	8.584012
-0.951790	11.466702	30.277493
-3.981314	11.675607	10.925135
-3.900725	12.425394	6.091318
-2.799837	14.151171	8.148491
-2.191169	11.698096	6.947613
-4.040007	12.766919	7.157377
-4.461826	14.106459	10.073235
-1.962153	11.805824	11.114176
-4.854727	13.628872	21.236406
-3.256132	13.512816	1.384047
-4.736020	11.675625	32.880487
-3.136349	12.321981	0.401569
-3.591658	12.897850	1.589239
-4.209213	12.132621	13.522921
-3.021297	12.789439	1.109952
-2.429978	11.150358	2.998766
-4.675707	13.552677	17.009327
-2.809279	11.526513	0.924506
-1.590441	12.390675	22.290911
-1.962295	12.342518	13.745307
-1.080845	14.030341	52.454416
-3.390557	13.246571	0.827341
-2.496217	13.643632	10.542037
-4.106516	12.961051	7.605402
-2.083168	10.516261	5.702444
